query,video_id,title,channel,description,youtube_url
Mongo Santamaria percussion intro,8k1esJNjvJY,Mongo Santamaria 1972 Live Band Intro.,CeeCmusic,ceec3171.,https://www.youtube.com/watch?v=8k1esJNjvJY
Mongo Santamaria percussion intro,9M-TwFR-9Wc,Como Hacer El Tumbao De Mongo Santamaria,A Percussion Life,Tacos de Mongo Santamaria!! Consiga tus congas aqui https://moperc.com/en-us/collections/drums-ready-to-ship *ENGLISH ...,https://www.youtube.com/watch?v=9M-TwFR-9Wc
Mongo Santamaria percussion intro,skMv2k5YH-Q,Mongo&#39;s Theme,Mongo Santamaria - Topic,"Provided to YouTube by Universal Music Group Mongo's Theme · Mongo Santamaría Arriba! ℗ 1961 Fantasy, Inc. Released on: ...",https://www.youtube.com/watch?v=skMv2k5YH-Q
Soul Makossa drum break,MbI4B1_xyjw,Soul Makossa - Manu Dibango Dance - How to Play on Drums,Learn To Master,Learn To Master Drums App shows you how to play Soul Makossa - Manu Dibango Dance on a Drum Kit. Android: ...,https://www.youtube.com/watch?v=MbI4B1_xyjw
Soul Makossa drum break,cubufKS7UiE,Soul Makossa   Manu Dibango funk break beat HIGH,Darryl Bynum,,https://www.youtube.com/watch?v=cubufKS7UiE
Soul Makossa drum break,5ebUUitWhSM,Swiss Drum Solo- MJ/Soul Makossa- November 2012 @ Blue Note NYC,Swiss Chris,Sandy Relief Fundraiser... Swiss Drum Solo featuring DJ Johnny Juice from PE.,https://www.youtube.com/watch?v=5ebUUitWhSM
Fela Kuti instrumental,qAX3MmAfzUE,Instrumental Fela,Phil Everson,Instrumental edits of music by Fela Kuti link to vol 2: https://youtu.be/yCToJzV1xGs 0:00:00 No Agreement (parts 1 and 2) 0:08:55 ...,https://www.youtube.com/watch?v=qAX3MmAfzUE
Fela Kuti instrumental,CFAGcYV5jV8,SALSA x FELA KUTI  AFROBEAT INSTRUMENTAL 2020 –  &quot;SPIRITUAL RIDDIM&quot;,LegendaryJeffrey,To purchase Beat : https://www.beatstars.com/beat/10308261 Afrobeatindoor Flip Challenge [FREE] For Non Profit Use only ...,https://www.youtube.com/watch?v=CFAGcYV5jV8
Fela Kuti instrumental,lqjo9X0JDCQ,[FREE] | Burna Boy x Fela Kuti ft Wizkid Type Beat &quot;VINTAGE&quot; Afrobeat Instrumental 2023,KlaSickBeatz,"Free downloads are non-profit use only.. Purchase a lease before you can upload on itunes, spotify and any content monetization ...",https://www.youtube.com/watch?v=lqjo9X0JDCQ
